Loan_ID,Gender,Married,Dependents,LoanAmount,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,,1,Urban,Y
LP001003,Male,Yes,1,128,1,Rural,N
LP001005,Male,Yes,0,66,1,Urban,Y
LP001006,Male,Yes,0,120,1,Urban,Y
LP001008,Male,No,0,141,1,Urban,Y
LP001011,Male,Yes,2,267,1,Urban,Y
LP001013,Male,Yes,0,95,1,Urban,Y
LP001014,Male,Yes,3+,158,0,Semiurban,N
LP001018,Male,Yes,2,168,1,Urban,Y
LP001020,Male,Yes,1,349,1,Semiurban,N
LP001024,Male,Yes,2,70,1,Urban,Y
LP001027,Male,Yes,2,109,1,Urban,Y
LP001028,Male,Yes,2,200,1,Urban,Y
LP001029,Male,No,0,114,1,Rural,N
LP001030,Male,Yes,2,17,1,Urban,Y
LP001032,Male,No,0,125,1,Urban,Y
LP001034,Male,No,1,100,,Urban,Y
LP001036,Female,No,0,76,0,Urban,N
LP001038,Male,Yes,0,133,1,Rural,N
LP001041,Male,Yes,0,115,1,Urban,Y
LP001043,Male,Yes,0,104,0,Urban,N
LP001046,Male,Yes,1,315,1,Urban,Y
LP001047,Male,Yes,0,116,0,Semiurban,N
LP001050,,Yes,2,112,0,Rural,N
LP001052,Male,Yes,1,151,,Semiurban,N
LP001066,Male,Yes,0,191,1,Semiurban,Y
LP001068,Male,Yes,0,122,1,Semiurban,Y
LP001073,Male,Yes,2,110,1,Urban,Y
LP001086,Male,No,0,35,1,Urban,N
LP001087,Female,No,2,120,1,Semiurban,Y
LP001091,Male,Yes,1,201,,Urban,N
LP001095,Male,No,0,74,1,Urban,N
LP001097,Male,No,1,106,1,Rural,N
LP001098,Male,Yes,0,114,1,Semiurban,Y
LP001100,Male,No,3+,320,1,Rural,N
LP001106,Male,Yes,0,,1,Urban,Y
LP001109,Male,Yes,0,100,0,Urban,N
LP001112,Female,Yes,0,144,1,Semiurban,Y
LP001114,Male,No,0,184,1,Urban,Y
LP001116,Male,No,0,110,1,Semiurban,Y
LP001119,Male,No,0,80,1,Urban,N
LP001120,Male,No,0,47,1,Urban,Y
LP001123,Male,Yes,0,75,,Urban,Y
LP001131,Male,Yes,0,134,1,Semiurban,Y
LP001136,Male,Yes,0,96,1,Urban,Y
LP001137,Female,No,0,88,1,Urban,Y
LP001138,Male,Yes,1,44,1,Urban,Y
LP001144,Male,Yes,0,144,1,Urban,Y
LP001146,Female,Yes,0,120,0,Urban,N
LP001151,Female,No,0,144,1,Semiurban,Y
LP001155,Female,Yes,0,100,1,Semiurban,Y
LP001157,Female,No,0,120,1,Semiurban,Y
LP001164,Female,No,0,112,1,Semiurban,N
LP001179,Male,Yes,2,134,1,Urban,N
LP001186,Female,Yes,1,286,0,Urban,N
LP001194,Male,Yes,2,97,1,Semiurban,Y
LP001195,Male,Yes,0,96,1,Semiurban,Y
LP001197,Male,Yes,0,135,1,Rural,N
LP001198,Male,Yes,1,180,1,Urban,Y
LP001199,Male,Yes,2,144,1,Urban,Y
LP001205,Male,Yes,0,120,1,Urban,Y
LP001206,Male,Yes,3+,99,1,Urban,Y
LP001207,Male,Yes,0,165,0,Rural,N
LP001213,Male,Yes,1,,0,Rural,N
LP001222,Female,No,0,116,0,Semiurban,N
LP001225,Male,Yes,0,258,1,Semiurban,N
LP001228,Male,No,0,126,0,Urban,N
LP001233,Male,Yes,1,312,1,Urban,Y
LP001238,Male,Yes,3+,125,1,Urban,Y
LP001241,Female,No,0,136,0,Semiurban,N
LP001243,Male,Yes,0,172,1,Urban,Y
LP001245,Male,Yes,2,97,1,Semiurban,Y
LP001248,Male,No,0,81,1,Semiurban,Y
LP001250,Male,Yes,3+,95,0,Semiurban,N
LP001253,Male,Yes,3+,187,1,Semiurban,Y
LP001255,Male,No,0,113,1,Urban,N
LP001256,Male,No,0,176,1,Urban,N
LP001259,Male,Yes,1,110,1,Urban,N
LP001263,Male,Yes,3+,180,0,Semiurban,N
LP001264,Male,Yes,3+,130,,Semiurban,Y
LP001265,Female,No,0,111,1,Semiurban,Y
LP001266,Male,Yes,1,,1,Semiurban,Y
LP001267,Female,Yes,2,167,1,Urban,N
LP001273,Male,Yes,0,265,,Semiurban,N
LP001275,Male,Yes,1,50,1,Urban,Y
LP001279,Male,No,0,136,1,Semiurban,Y
LP001280,Male,Yes,2,99,,Semiurban,Y
LP001282,Male,Yes,0,104,1,Semiurban,Y
LP001289,Male,No,0,210,1,Urban,Y
LP001310,Male,Yes,0,175,1,Semiurban,Y
LP001316,Male,Yes,0,131,1,Semiurban,Y
LP001318,Male,Yes,2,188,1,Semiurban,Y
